city,country,population,description
Tokyo,Japan,13960000,Capital of Japan and the most populous metropolitan area in the world. A global center for technology and finance with a blend of ultramodern and traditional culture.
Delhi,India,32940000,Capital territory of India and one of the oldest continuously inhabited cities in the world. Known for its rich history spanning several millennia and diverse cultural heritage.
Shanghai,China,28520000,Largest city in China and a global financial hub. Famous for its modern skyline along the Bund waterfront and its role as a major port city.
Ṣo Paulo,Brazil,22430000,Largest city in South America and the economic engine of Brazil. A cosmopolitan metropolis known for its cultural diversity and thriving arts scene.
Mexico City,Mexico,21800000,Capital of Mexico and the most populous city in North America. Built on the ruins of the Aztec capital Tenochtitlan with a rich blend of indigenous and colonial heritage.
Cairo,Egypt,21750000,Capital of Egypt and the largest city in the Arab world. Situated near the ancient Pyramids of Giza and serving as a cultural and political center of the Middle East.
Mumbai,India,21300000,Financial capital of India and home to Bollywood. A coastal megacity known for its distinctive blend of colonial architecture and modern skyscrapers.
Beijing,China,21540000,Capital of China with over three thousand years of history. Home to iconic landmarks including the Forbidden City and the Great Wall.
London,United Kingdom,9002000,Capital of the United Kingdom and a leading global city in finance and culture. Known for landmarks like the Tower of London and Buckingham Palace.
New York City,United States,8336000,Largest city in the United States and a global center of finance and culture. Famous for Manhattan skyline and iconic landmarks like the Statue of Liberty and Central Park.
Paris,France,2161000,Capital of France and one of the most visited cities in the world. Renowned for the Eiffel Tower and Louvre Museum and its influence on art and fashion.
Istanbul,Turkey,15460000,Transcontinental city straddling Europe and Asia. The only major city in the world located on two continents with a history spanning thousands of years.
Lagos,Nigeria,15400000,Largest city in Africa and the economic hub of Nigeria. A rapidly growing megacity and the cultural center of West Africa.
Buenos Aires,Argentina,15370000,Capital of Argentina and a vibrant cultural capital known for tango and European-influenced architecture. Often called the Paris of South America.
Sydney,Australia,5312000,Largest city in Australia known for its iconic Opera House and Harbour Bridge. A major global city with a high quality of life and diverse multicultural population.
